hip,x0,y0,z0,spect
171.0,10.835,0.103,5.54,G3V
172.0,415.365,3.936,998.334,O7
173.0,223.05,2.14,244.087,A2
174.0,190.723,1.836,329.897,G 9 II-III
175.0,183.034,1.765,216.38,G5
176.0,188.484,1.821,184.768,K0
177.0,199.381,1.95,-42.252,A1MA5/7-A8
178.0,98.547,0.977,-50.508,F7 V
179.0,60.423,0.601,-14.404,G0 V
180.0,384.039,3.827,-62.031,K2 III/IV
181.0,189.713,1.9,338.125,M0
182.0,258.755,2.625,338.288,K0
183.0,133.807,1.362,-76.39,B3/5 V
184.0,33.173,0.341,6.452,K0
185.0,76.028,0.783,14.484,F8
186.0,122.276,1.282,19.273,A 6 V
187.0,129.669,1.363,-13.765,F5 V
188.0,102.191,1.075,11.342,F5
189.0,185.397,1.958,256.462,A3
190.0,85.941,0.908,16.358,G0
192.0,298.315,3.227,44.021,G5
193.0,202.389,2.196,-165.148,G8/K0 III
194.0,37.143,0.404,5.542,F 2 V A
195.0,76.544,0.836,83.313,F8
196.0,668.66,7.318,850.681,K5
197.0,332.1,3.665,300.597,K0
198.0,258.421,2.854,70.871,A0
199.0,212.078,2.351,61.845,A0
201.0,87.304,0.974,29.524,F5
202.0,255.641,2.863,359.109,F0
203.0,469.42,5.262,-133.117,K0 III
204.0,290.741,3.274,-280.273,K3 III
205.0,121.211,1.366,-11.003,F0 V
206.0,90.302,1.019,30.807,G0
208.0,210.717,2.391,-512.141,G6/8 III
207.0,99.722,1.132,225.039,G0
209.0,99.708,1.149,225.022,A2V
210.0,133.286,1.54,-19.892,F8/G0 V
211.0,194.553,2.252,-151.726,G8
213.0,149.118,1.736,187.295,G5
214.0,232.999,2.721,126.739,A3
217.0,42.921,0.505,348.242,A0
215.0,179.406,2.112,671.297,M2
216.0,189.211,2.235,175.965,A0
218.0,173.323,2.056,-273.488,G8 III
219.0,97.458,1.174,10.303,F8
220.0,148.625,1.795,107.261,A0
221.0,25.116,0.304,146.674,F2
222.0,253.598,3.074,-220.335,K1 III
224.0,480.316,5.837,32.414,K0
223.0,42.755,0.52,1.59,F8/G0 V
225.0,159.288,1.946,-42.805,F3/5 V
227.0,28.868,0.355,168.659,null
228.0,85.04,1.054,45.701,F8
229.0,175.003,2.182,189.347,A0
230.0,108.402,1.355,63.443,F2
231.0,135.857,1.716,-224.181,F6/7 IV
232.0,198.186,2.526,-115.124,A0 V
233.0,110.036,1.406,326.212,K0
234.0,218.947,2.803,609.466,B8
235.0,140.049,1.8,415.415,K0
236.0,377.128,4.857,-5.885,K1 III
237.0,99.608,1.285,-82.197,G8 IV
238.0,53.964,0.697,-19.692,F6/7 V
239.0,277.822,3.604,16.419,F3 V
241.0,385.85,5.065,62.073,K0
242.0,103.449,1.358,-71.755,G8 IV
243.0,149.683,1.968,-266.667,K0 III
244.0,253.253,3.354,212.487,F8
245.0,305.708,4.075,-41.965,K0 III
246.0,32.348,0.432,49.311,K3
247.0,131.466,1.756,19.09,F0
248.0,132.235,1.767,19.224,F0
249.0,64.799,0.876,40.29,F8
250.0,151.917,2.053,197.751,K0
251.0,590.333,7.989,-278.585,K2 III
253.0,140.549,1.92,-63.009,K1 III
254.0,126.988,1.739,117.389,A2
255.0,83.423,1.157,-38.177,F2/3 V
256.0,130.432,1.814,182.983,F0
257.0,181.951,2.55,-110.258,A0 V
258.0,135.839,1.91,42.97,K0
259.0,358.657,5.045,408.611,M0
260.0,133.56,1.905,-193.662,F2 V
261.0,182.018,2.607,-79.588,F3 V
262.0,218.093,3.144,140.813,F 0 V
263.0,29.105,0.421,2.386,M1
264.0,252.149,3.662,198.756,K0
266.0,255.262,3.722,-54.009,K1 IIICNII
267.0,86.665,1.264,-6.282,F0 V
265.0,331.56,4.835,-694.459,K5 (III)
268.0,398.223,5.851,664.89,K5
269.0,280.436,4.122,122.387,G5
270.0,57.887,0.859,191.446,A2
271.0,168.974,2.515,-122.623,A2 III
272.0,398.528,5.951,-197.985,G8/K0 III
274.0,543.897,8.137,1097.745,B3IA
275.0,147.225,2.204,-81.619,F3 V
276.0,54.424,0.815,20.53,G0
277.0,53.298,0.8,-39.086,F2 V
278.0,711.394,10.717,1037.175,B 2 VE
279.0,395.637,5.965,755.514,B 8 V
280.0,123.09,1.861,165.233,A2
281.0,432.6,6.616,619.267,M0
282.0,344.144,5.265,121.082,K0
283.0,177.22,2.713,38.829,A5
284.0,189.396,2.904,-422.015,G8 III
285.0,290.18,4.461,-207.79,K1 IV/VCNIII
286.0,84.515,1.3,423.694,K0
287.0,882.83,13.651,-207.534,K5
288.0,103.606,1.608,94.458,K0
289.0,182.901,2.881,-232.531,K0 III
290.0,55.49,0.876,-33.47,F8/G0 V
291.0,599.725,9.469,-324.543,AP SI
292.0,93.389,1.481,260.945,A0
293.0,40.347,0.645,-62.529,F6 V
294.0,147.807,2.366,10.096,F0/2 V
295.0,223.317,3.581,-194.808,F0 V
296.0,35.422,0.571,-19.152,G8 V
297.0,87.873,1.418,99.115,A2
298.0,328.623,5.317,78.088,K0
299.0,48.322,0.788,-97.361,F5 V
301.0,90.835,1.482,-28.358,B9IVn
300.0,97.308,1.588,87.701,A3
302.0,114.765,1.933,266.676,M0
303.0,135.955,2.3,212.44,A(M)
304.0,170.853,2.892,70.068,A2
305.0,41.256,0.7,-22.304,G5 IV
306.0,39.787,0.677,-63.264,G2 V
308.0,75.392,1.295,19.331,F0
309.0,229.357,3.947,-231.713,A6 V
311.0,96.891,1.67,72.944,F0
310.0,63.47,1.094,-59.594,G5 V
312.0,1471.238,25.413,2665.94,B0IB
313.0,68.312,1.182,-76.213,F3/5 V
314.0,173.057,2.995,66.28,G0
315.0,46.308,0.802,-136.665,F8 V
316.0,182.988,3.197,39.388,F0
317.0,29.427,0.515,-173.92,F0 III/IV
318.0,407.842,7.187,-325.566,G8/K0 IV
319.0,1368.558,24.266,2598.521,O8
321.0,70.189,1.266,-34.077,G2/3 V
322.0,135.349,2.445,207.826,G 8 IV
324.0,130.528,2.375,41.004,F5
323.0,129.166,2.351,153.253,K2
325.0,53.13,0.968,43.215,F8
326.0,1104.246,20.139,219.973,M0
327.0,314.284,5.74,-27.092,Fm delta DEL
328.0,224.434,4.112,-130.305,B8 V
329.0,109.845,2.017,-19.651,G6 V
330.0,337.395,6.225,642.417,A0III
332.0,110.112,2.039,-75.449,F6 V
333.0,262.073,4.863,-82.268,A1/2 IV/V
