hip,x0,y0,z0,spect
28846.0,-3.374,145.178,80.656,G0
28847.0,-8.058,343.308,3.673,K5 III
28848.0,-8.592,365.958,59.811,F0
28850.0,-13.272,563.431,116.874,K2
28849.0,-0.764,32.438,-230.6,A0 V
28851.0,-6.821,289.435,193.329,B9
28852.0,-1.86,78.754,-43.088,F5/8 + A/F
28853.0,-2.264,95.509,78.391,G0
28854.0,-1.294,54.415,-9.835,F3 V
28855.0,-1.657,69.62,-49.698,A0 V
28856.0,-5.791,242.448,-160.53,A0 IV
28857.0,-8.065,336.05,-282.668,K3 III
28858.0,-8.607,358.086,-184.03,G8/K0 III
28859.0,-6.709,278.77,-348.098,G8 (III)
28860.0,-3.138,129.723,230.987,A0
28861.0,-3.719,153.112,101.754,B9IIIP
28862.0,-7.555,310.921,-2.936,G8/K0 III
28863.0,-13.266,545.363,-45.66,B9.5 III
28864.0,-16.112,652.5,-69.225,A0
28865.0,-5.46,220.111,280.816,K0
28866.0,-19.086,768.778,-238.383,A1 V
28867.0,-11.318,455.815,-278.22,G6 III
28868.0,-0.627,25.224,73.386,G0
28869.0,-0.564,22.661,-42.184,G0 V
28870.0,-6.148,246.996,-26.452,F5 IV/V
28872.0,-2.16,86.142,64.778,G0
28873.0,-5.118,203.813,-326.124,K0 III
28874.0,-5.88,233.964,-105.159,M5 III
28875.0,-2.904,115.137,-161.523,K0 III
28876.0,-10.358,409.513,-202.676,A0 V
28877.0,-4.736,186.927,-57.023,A0 V
28878.0,-2.066,81.15,-78.217,A5 V
28879.0,-6.691,262.517,-76.473,K0 III
28880.0,-1.118,43.767,-224.33,F5/6 V(W)
28881.0,-25.419,991.515,1111.236,O9N
28882.0,-7.41,288.947,29.043,B9
28883.0,-5.324,206.838,-18.323,A8 V
28884.0,-0.937,36.28,18.138,K2V
28885.0,-11.985,463.513,398.662,B8
28886.0,-3.835,148.216,-34.906,F0 IV(M)
28888.0,-6.413,246.397,-228.168,G6 III
28889.0,-10.986,422.066,-49.08,A3 III/IV
28890.0,-4.219,161.873,100.99,G5
28891.0,-2.197,84.196,-183.178,F2 IV
28892.0,-2.243,85.877,270.8,A0
28893.0,-14.941,570.092,99.243,A0
28894.0,-8.508,324.1,71.753,B9
28896.0,-14.815,562.932,-261.658,AP CREUSR
28895.0,-2.679,101.798,-150.8,K0/1 III
28897.0,-8.444,320.447,-33.015,M0/1 III
28898.0,-0.367,13.886,-23.623,K1 V
28899.0,-1.968,74.009,-42.33,A1 V
28900.0,-2.826,106.263,-69.612,F5 IV
28902.0,-0.314,11.82,31.586,G5
28901.0,-4.178,156.921,357.009,A2
28903.0,-7.0,262.741,63.28,B9
28904.0,-100.225,3758.989,2078.79,B2IB
28905.0,-0.395,14.763,35.902,G5
28906.0,-2.379,88.968,-71.998,K1/2 III
28907.0,-9.339,349.074,36.85,A0
28908.0,-0.56,20.905,14.855,G0V
28910.0,-1.331,49.534,-13.217,A0 V
28909.0,-1.143,42.525,-95.725,A0 V
28911.0,-7.077,262.803,312.721,G5
28912.0,-3.335,123.444,-226.858,G8 (IV/V)
28913.0,-1.101,40.746,-41.939,F7 V
28915.0,-4.271,157.817,-30.365,F7/8 V
28914.0,-1.03,38.065,78.358,F5
28916.0,-4.155,153.403,-23.97,F3/5 V
28917.0,-9.635,353.57,20.614,K0 III
28920.0,-10.544,385.897,204.698,B 9 V
28919.0,-9.365,342.671,214.18,B8
28921.0,-0.865,31.566,-16.724,K1 V
28922.0,-4.63,168.828,93.992,K3III
28923.0,-13.864,503.98,-311.026,B8/9 V
28924.0,-8.562,311.009,-402.859,F7/8 V (+ A)
28925.0,-2.846,103.367,160.95,K0
28926.0,-2.165,78.24,-206.681,A4 V
28927.0,-2.758,99.528,-410.318,K1 III
28928.0,-9.474,341.134,-454.283,K1/2 III
28929.0,-7.555,271.955,166.153,G5
28930.0,-6.515,234.185,132.614,M3II+F7V
28931.0,-6.672,239.139,-575.316,K3 III
28932.0,-6.387,228.612,114.154,G5III
28933.0,-4.02,143.762,-2.418,F3 V
28934.0,-4.577,163.586,-113.415,F2 V
28935.0,-0.386,13.8,28.1,G5
28936.0,-0.404,14.345,2.724,F0
28937.0,-4.99,176.776,33.576,A0
28938.0,-17.236,609.483,143.484,A0
28939.0,-14.701,519.676,265.53,B 8 V
28941.0,-0.401,14.136,-44.885,K0 IV/V
28942.0,-5.678,200.11,685.653,K2
28943.0,-3.976,139.39,-59.51,A2 V
28944.0,-6.906,240.756,-98.021,B9 V
28945.0,-93.622,3258.843,1613.355,G0Ib
28946.0,-2.469,85.906,68.318,A 4 M
28947.0,-1.749,60.652,49.303,F8
28948.0,-4.347,150.028,-44.511,G8 III
28949.0,-11.118,383.319,-28.12,B5 II/III
28950.0,-5.194,179.049,-266.572,K0 III
28951.0,-1.51,52.022,104.174,K0
28952.0,-3.345,115.13,-100.902,A0/1 V
28953.0,-9.544,328.212,-78.38,A1 IV
28954.0,-0.442,15.188,4.226,K0
28955.0,-5.491,188.453,22.249,A5
28956.0,-1.014,34.784,421.88,G5
28957.0,-1.799,61.662,-56.13,A2MA5-A9
28958.0,-12.089,413.179,151.308,A0
28959.0,-7.172,245.054,402.554,K0
28960.0,-6.334,216.142,-89.138,A0 V
28961.0,-7.719,263.343,525.7,null
28962.0,-1.971,67.223,-77.973,F0 III/IV
28963.0,-0.637,21.676,69.212,F2
28964.0,-0.381,12.964,-25.109,K4 V
28965.0,-6.167,209.921,79.483,A5
28966.0,-2.695,91.544,-42.564,F0/2 V
28967.0,-6.479,219.603,-134.193,K0 III
28968.0,-15.344,516.557,109.964,K
28969.0,-7.532,253.354,110.94,K2
28970.0,-3.969,132.912,-317.618,K3 III
28971.0,-3.356,112.128,-47.834,A3 V
28972.0,-3.213,107.253,-122.094,A9 IV
28973.0,-10.629,354.75,-70.104,B5 V
28974.0,-7.202,240.101,153.875,K5
28975.0,-5.794,193.002,-70.049,A2 V
28976.0,-7.008,232.285,8.818,A0 V
28977.0,-23.385,774.037,349.855,B8
28978.0,-14.66,484.633,142.395,K0
28979.0,-28.343,936.294,331.022,G5
28980.0,-5.704,188.409,54.681,A3
28981.0,-10.454,345.247,-20.165,B8 IV
28982.0,-10.029,331.047,-1.247,B9 III
28983.0,-18.398,606.571,-246.33,K3 III
28984.0,-8.216,270.529,-108.321,M3 II/III
28985.0,-2.179,71.565,-7.782,A2/3 II
28986.0,-8.626,282.764,0.38,K2 III
28987.0,-0.997,32.665,-34.086,F3 V
28988.0,-2.684,87.442,-87.763,K1 III
28989.0,-1.672,54.4,118.886,A3
28990.0,-11.203,364.061,5.198,B9 V
28991.0,-1.716,55.725,-105.539,K2/3 III
28992.0,-7.41,240.436,-164.166,B3/5 VNN
28994.0,-14.143,457.271,297.734,K2
28993.0,-0.718,23.201,-147.606,A9 IV
28995.0,-1.936,62.574,328.088,K0
28996.0,-1.373,44.349,114.406,F8
28997.0,-11.68,376.25,265.678,K0
28998.0,-24.787,798.105,339.826,B9
28999.0,-2.427,77.977,-48.555,F7 V
29000.0,-19.802,634.606,163.6,K2
29001.0,-1.108,35.493,10.556,F5
29002.0,-2.465,78.905,12.738,F2
29003.0,-2.088,66.748,50.624,G0
29004.0,-6.934,220.977,-461.202,M2 III
29005.0,-1.025,32.602,132.458,F8
29006.0,-8.034,254.238,6.698,Fm delta DEL
29007.0,-3.711,117.246,-46.278,F2/3 V
29008.0,-7.122,224.281,156.055,A0
29009.0,-9.376,294.839,-222.585,K3/4 V
29010.0,-11.607,364.342,138.618,K2
29011.0,-13.739,430.412,-6.81,B8 IV
29012.0,-5.22,163.519,-124.181,G8/K0 (III)
29013.0,-13.52,422.411,143.823,F3III
29014.0,-10.399,324.85,163.34,B9
29015.0,-10.427,325.638,-11.1,A0 V
29016.0,-13.021,404.422,354.232,M1
29017.0,-12.874,399.157,21.571,B8/9 Ib/II
29018.0,-5.476,169.734,-65.869,A9/F0 V
29019.0,-5.297,163.857,-270.423,K0 III
29020.0,-8.287,256.112,9.585,A5 V
29023.0,-19.955,615.352,-364.504,K5 III
29024.0,-7.872,242.701,178.21,B9
29025.0,-6.868,211.311,189.394,K0III
29026.0,-11.509,353.869,-33.407,B9 V
29027.0,-9.417,289.354,42.082,B9
29028.0,-20.822,638.956,-174.438,K3 (III)
29029.0,-10.305,315.384,-222.801,A2 V
29030.0,-4.663,142.477,118.824,K0
29031.0,-5.585,170.316,-125.22,A0 V
29032.0,-10.694,325.935,234.35,K0
29033.0,-6.963,211.968,166.187,K0
29034.0,-6.263,190.635,-145.056,B(8) IV
29035.0,-1.856,56.435,72.166,G5
29037.0,-14.682,444.367,-27.999,A0 V
29038.0,-5.912,178.859,47.177,B3IV
29039.0,-1.933,58.417,-85.7,G6 V
29040.0,-17.082,515.056,95.106,K0
29041.0,-51.166,1532.646,615.629,B1V
29042.0,-9.713,290.485,157.625,F2
29043.0,-12.996,388.461,29.933,A0 V
29044.0,-30.423,909.32,480.914,B9
29045.0,-3.795,113.188,-77.796,G8 IV
29046.0,-19.043,567.572,-121.096,M1 III
29047.0,-7.628,227.186,-157.047,K1 III
29048.0,-6.919,206.03,-71.65,M1 III
29049.0,-9.305,276.629,-42.11,B9 V
29050.0,-10.716,318.012,188.826,F0
29051.0,-24.77,734.778,392.79,B8
29052.0,-0.346,10.265,-4.953,null
29053.0,-14.615,432.647,-54.405,B9 V
29054.0,-23.209,685.833,111.619,G 8 III:-BA2
29057.0,-2.952,86.902,-86.135,F0 V
29058.0,-3.342,98.149,-205.354,F6 V
29059.0,-8.819,258.902,248.305,A0
29061.0,-3.06,89.751,36.287,F8
29062.0,-11.594,338.659,312.313,B5
29063.0,-1.228,35.729,5.164,K 2 V
29064.0,-1.998,58.079,-52.609,A0 V
29065.0,-5.42,157.397,-125.92,F2 V
29066.0,-8.142,235.848,-39.275,F3 V
29067.0,-0.323,9.354,23.138,K8
29068.0,-4.392,126.823,92.419,K2
29069.0,-5.894,170.098,-167.129,A1/2 V
29070.0,-44.691,1289.09,565.417,F0
29071.0,-7.356,211.992,-296.714,G8/K0 III + F
29072.0,-11.448,329.586,223.816,B9
29073.0,-6.487,186.489,62.078,G5IV
29074.0,-1.473,42.274,21.952,G0V
29075.0,-23.67,678.677,323.274,B9
29076.0,-0.655,18.719,-134.015,F0 IV
29077.0,-3.53,100.591,39.234,F0
29078.0,-0.559,15.898,-560.628,K0/2 (III)
29079.0,-1.916,54.417,44.424,F5
29080.0,-1.995,56.62,68.932,F8
29081.0,-33.568,951.656,418.762,B8
29082.0,-28.718,813.595,-90.759,B 2.5V
29083.0,-1.574,44.484,-12.68,F5 V
29084.0,-4.702,132.718,100.954,F5
29085.0,-11.458,322.677,459.672,F8
29086.0,-6.092,171.542,-32.032,A1 V
29087.0,-4.83,135.852,-64.595,A2 V + G8/K0 III
29088.0,-10.147,285.194,-100.674,A0 V
29089.0,-2.608,73.129,-121.635,F7/G2 (V)
29090.0,-6.212,173.654,135.676,A2
29093.0,-1.831,51.072,-63.094,F7 V
29092.0,-1.667,46.487,-256.622,A0/1 V
29094.0,-2.027,56.444,-75.726,F7 V
29097.0,-2.303,63.823,-101.933,G2 V
29098.0,-2.416,66.796,-96.31,K0 V
29099.0,-25.329,700.256,-914.447,S
29101.0,-12.5,345.422,20.465,B9 V
29102.0,-14.067,388.441,518.488,A2
29103.0,-9.77,269.772,-287.965,K1/2 III(P)
29104.0,-3.425,94.562,182.713,A0
29105.0,-12.326,340.147,-11.505,A0 IV
29106.0,-33.27,918.066,228.565,B 2.5V
29107.0,-4.153,114.494,-135.318,A2 IV/V
29108.0,-5.101,140.516,143.356,A0
29109.0,-5.947,163.756,191.494,A0
29110.0,-3.017,82.982,64.25,F2
29111.0,-2.229,61.278,12.429,G5
29112.0,-17.925,492.093,-975.754,K3/4 III
29113.0,-1.257,34.473,42.227,G5
29114.0,-3.366,91.962,80.152,G9III
29115.0,-30.854,842.178,-96.743,B2 II
29117.0,-21.264,579.08,245.947,F0
29116.0,-2.023,55.081,33.385,F8
29118.0,-3.095,84.183,-16.598,A3 V
29120.0,-31.782,862.844,-80.699,B2 III
29121.0,-35.349,957.627,237.698,B 2 V:
29122.0,-9.387,253.855,-222.962,G6 III
29123.0,-14.798,400.154,195.014,K0
29124.0,-2.87,77.449,-226.622,AP SR(EU)
29126.0,-36.59,985.322,245.308,B 1 V
29125.0,-6.914,186.164,110.055,G5
29127.0,-37.619,1009.832,251.335,B8
29128.0,-6.109,163.635,194.761,A2
29129.0,-6.964,186.006,-181.999,B8 II
29130.0,-2.315,61.534,158.036,A0
29131.0,-15.059,398.37,-369.244,B7/9 IV
29133.0,-2.248,59.077,-2.582,G3 V
29134.0,-1.189,31.163,-80.581,B8 V
29135.0,-4.666,121.987,-17.019,A0 V
29136.0,-12.277,320.482,-307.688,B7 V
29137.0,-1.964,51.217,387.145,K2
29138.0,-14.72,383.885,58.576,B 9 V
29139.0,-22.646,589.919,250.404,K5
29140.0,-4.504,117.318,-14.044,G8 III/IV
29141.0,-5.863,152.594,-258.889,K0 III
29142.0,-2.018,52.467,-67.533,F8/G0 V
29143.0,-3.076,79.84,-58.327,F3 V
29144.0,-9.654,249.428,-304.699,G3 V
29145.0,-20.484,526.008,-117.987,B8/9 III
29146.0,-20.309,521.034,115.284,K2
29147.0,-68.623,1760.201,495.314,O7
29148.0,-31.348,803.0,363.856,B5
29149.0,-6.741,172.629,-6.145,K0 III
29152.0,-5.016,128.168,-100.446,A0 V
29150.0,-2.686,68.633,-28.348,A0 V
29151.0,-6.936,177.23,7.743,B9 V
29153.0,-6.776,173.037,-29.438,A2/3 IV
29154.0,-10.051,255.97,11.168,A2 IV
29155.0,-1.269,32.232,-234.191,B9 IV/V
29156.0,-12.681,321.728,-47.52,A8/9 V
29157.0,-5.011,127.055,-273.759,K1 III
29158.0,-15.421,390.79,186.649,A0
29159.0,-7.054,178.691,-156.103,A1 III/IV
29160.0,-7.202,181.845,236.496,K2
29161.0,-12.265,309.002,274.081,B8
29162.0,-7.817,196.726,294.068,A2
29163.0,-11.033,277.324,-40.497,K2 III
29164.0,-2.081,52.29,122.867,G5
29165.0,-12.851,322.793,-90.815,B8 V
29166.0,-8.989,225.749,29.798,G0
29167.0,-19.517,489.643,60.65,A0
29168.0,-5.273,131.887,27.227,G5
29169.0,-14.555,363.847,75.18,G5
29170.0,-4.561,113.983,-28.58,F0 III/IV
29171.0,-3.514,87.572,-297.738,K3/4 III
29172.0,-36.383,903.357,-341.286,K0
29173.0,-12.638,313.537,194.059,F5
29174.0,-4.504,111.492,-26.214,F0 IV
29175.0,-5.804,143.247,-44.63,AP EUCRSR
29176.0,-26.841,659.407,-252.3,A0/1 V
29177.0,-24.227,595.05,-39.501,B3 V
29178.0,-5.167,126.753,-41.528,B9 V(N)
29179.0,-23.352,572.617,-191.715,K5 III
29180.0,-14.563,356.172,325.726,A0
29181.0,-2.86,69.854,-73.109,G5 V
29182.0,-3.744,91.381,135.405,K 0 III
29183.0,-8.486,207.091,260.804,A0
29184.0,-27.177,663.184,154.603,null
29185.0,-1.622,39.554,-46.454,F7 V
29186.0,-11.866,288.54,89.301,A3V
29187.0,-25.085,608.897,182.459,K0
29188.0,-27.734,672.76,345.955,G5II
29189.0,-2.841,68.847,22.169,F7V
29190.0,-8.098,196.131,68.481,F2IV
29191.0,-4.174,101.066,-109.446,F3/5 V
29192.0,-13.287,321.651,-86.949,B(9) (V)
29193.0,-1.804,43.659,-54.717,G5/8 (III/IV + F)
29194.0,-23.144,558.733,-251.903,A0 V
29195.0,-11.951,288.289,-302.44,B9 V
29196.0,-21.635,519.416,212.05,K2
29197.0,-14.828,355.967,-377.767,G8 III
29198.0,-27.015,648.331,354.754,K7
29199.0,-3.657,87.756,-41.472,F7 V
29200.0,-3.703,88.773,8.811,F8
29201.0,-68.821,1648.804,-146.314,B1/2 Ib
29202.0,-28.075,672.492,-491.461,K5
29203.0,-14.598,349.438,-120.412,A2 IV/V
29204.0,-25.596,612.476,484.055,A0
29205.0,-2.706,64.734,-16.858,K2 III
29206.0,-37.786,903.694,-566.657,K2/3 III
29207.0,-7.541,180.291,419.343,K0
29208.0,-1.258,30.022,2.983,G0
29209.0,-16.096,384.043,191.62,G0
29210.0,-2.719,64.833,-6.49,F0 IV
29211.0,-13.544,322.78,263.295,A2
29212.0,-14.794,351.974,29.072,B8 V
29213.0,-12.92,307.284,-522.586,B4 V
29214.0,-9.396,223.39,-151.837,A3 V
29215.0,-8.977,213.095,245.901,K5
29217.0,-2.147,50.913,-45.851,F5 V
29216.0,-68.319,1619.986,605.827,O6
29218.0,-6.537,154.989,145.372,A0
29219.0,-18.563,439.196,-177.745,K0
29220.0,-15.256,360.406,-146.616,K2/3 III
29221.0,-2.043,48.244,16.714,K0
29223.0,-15.195,358.443,-420.567,K1 (III)
29222.0,-6.293,148.444,126.972,F8
29224.0,-4.909,115.625,64.781,F5
29225.0,-100.696,2369.644,1012.31,B2EIB
29228.0,-0.673,15.799,-139.281,F3 V
29227.0,-12.976,304.705,-172.27,K0 III
29229.0,-8.439,197.808,-74.045,K2 IIICNII
29230.0,-8.393,196.618,128.277,G0
29231.0,-17.822,417.394,7.15,B9 III/IV
29233.0,-5.253,122.956,-61.9,G8/K0 III
29234.0,-1.933,45.179,-18.985,F5 V
29235.0,-25.322,591.029,90.993,K5
29236.0,-5.907,137.8,6.913,G8 III/IV
29237.0,-16.222,376.891,-62.674,G8 III/IV
29238.0,-3.561,82.646,63.639,F8
29239.0,-10.765,249.232,66.157,B9
29241.0,-2.197,50.646,-24.316,G0 V
29242.0,-1.318,30.367,20.607,K0
29243.0,-12.989,299.124,49.93,A0
29244.0,-16.426,378.092,37.837,K0
29245.0,-1.175,27.026,-110.599,G6 V
29246.0,-3.059,70.179,116.611,G8III
29247.0,-18.279,419.166,-525.698,K5/M0
29248.0,-2.35,53.72,17.403,G2V
29249.0,-12.349,282.108,422.832,A2
29250.0,-4.66,106.417,-140.33,F2/3 V
29251.0,-5.459,124.596,-278.844,K2/3 III
29253.0,-32.212,731.275,-3.863,Ap Si
29254.0,-17.7,400.578,74.17,K5
29255.0,-4.167,94.271,-56.495,F7 V
29256.0,-24.881,562.785,-322.868,B7/8 IV
29257.0,-19.495,440.201,-359.486,K1 III
29258.0,-24.125,544.591,6.756,B8 III
29259.0,-8.839,199.357,11.552,K0 III
29260.0,-16.214,365.334,287.081,K0
29261.0,-7.905,178.066,19.741,A3
29262.0,-4.693,105.654,8.729,F3 V
29263.0,-8.51,191.588,-162.948,M2 II/III
29264.0,-26.057,586.239,-73.151,K1 Ib/II
29265.0,-7.064,158.659,168.878,K0
29266.0,-34.471,773.611,-200.968,K2/3 (III)
29267.0,-15.517,348.176,-28.55,B9 V
29268.0,-5.948,133.441,-117.077,G0 V
29269.0,-0.591,13.247,88.863,G0
29270.0,-23.454,525.41,-149.742,K1 III
29272.0,-3.273,73.208,-56.947,G0 V
29271.0,-0.12,2.683,-9.853,G6 V
29273.0,-8.231,184.055,108.74,G7III
29274.0,-8.093,180.692,51.545,G5
29275.0,-10.806,240.807,-64.857,B8 V
29276.0,-11.992,266.685,-380.806,B1/2 (III)N
29277.0,-0.059,1.298,9.372,M3
29278.0,-17.645,391.122,-186.615,K1/2 III
29279.0,-14.48,319.989,-11.227,G8/K0 III + (F)
29280.0,-15.573,344.141,-165.291,G5/6
29281.0,-20.239,445.99,-70.476,A0 V
29282.0,-15.977,351.969,17.86,B9 Ib/II
29283.0,-9.545,209.585,128.179,F2
29284.0,-2.379,52.184,-228.187,A1 V
29285.0,-3.117,68.21,-78.428,F5/6 IV/V
29286.0,-17.222,376.395,-383.441,G0
29287.0,-1.844,40.269,76.524,G5
29288.0,-11.006,240.092,102.01,B 8 III/IV
29289.0,-14.969,326.285,-281.291,K0 III
29290.0,-11.185,243.742,-588.038,F6 V
29292.0,-6.971,151.592,-105.537,G5/8 III + F/G
29293.0,-24.57,534.14,399.557,B8
29295.0,-0.247,5.341,-2.146,M1/2 V
29294.0,-4.882,105.693,-54.27,K1 III
29296.0,-37.894,820.307,341.587,null
29297.0,-9.47,204.596,-338.916,K3 III
29298.0,-21.951,473.706,32.094,B5 V
29299.0,-3.733,80.427,68.954,F8
29300.0,-1.344,28.946,73.237,F0
29301.0,-5.362,115.251,69.207,F7V
29302.0,-11.09,238.313,149.356,A0
29303.0,-5.527,118.732,331.025,K0
29304.0,-6.804,146.091,-147.696,A0 V
29305.0,-26.347,565.434,-369.031,K2/3 (III)
29306.0,-12.493,267.946,-99.5,B9 V
29307.0,-2.017,43.13,-141.341,A2MA2-A8
29308.0,-15.622,332.982,227.057,A0
29309.0,-5.187,110.288,71.691,F0
29310.0,-30.691,651.436,158.49,B 1 III
29311.0,-2.254,47.651,-81.966,F3 V
29313.0,-1.37,28.887,-334.785,G8 III/IV
29314.0,-1.729,36.382,-67.082,F0 III/IV
29315.0,-4.717,99.221,166.43,K 0 III
29316.0,-0.511,10.723,1.954,M3
29317.0,-29.081,610.069,1164.008,B 1 VNE
29318.0,-3.597,75.347,82.334,A3
29319.0,-5.705,119.249,96.982,F8
29320.0,-1.184,24.729,105.257,G5
29321.0,-35.515,740.32,157.471,B 2 V
29322.0,-0.567,11.806,-25.587,K:
29323.0,-8.843,183.756,-21.788,B9/9.5 IV/V
29324.0,-31.256,649.168,-123.666,B9 IV
29325.0,-14.869,308.798,-191.491,K0 III
29326.0,-25.302,525.353,172.22,K1II
29327.0,-20.139,417.863,-53.475,B5 IV
29328.0,-14.226,295.165,315.622,G5
29329.0,-14.383,298.064,12.145,K3 III
29330.0,-1.991,41.247,-10.144,K3 V
29331.0,-12.001,248.531,-494.17,K2/3 III
29332.0,-7.917,163.913,143.827,B9
29333.0,-15.296,316.569,-315.548,B9 IV/V
29334.0,-27.91,576.794,267.835,B9...
29335.0,-22.079,456.112,619.826,K0
29336.0,-11.604,239.71,205.23,A P CR
29337.0,-9.534,196.849,-108.37,G1 V
29338.0,-38.717,798.042,382.388,null
29339.0,-24.979,514.579,-16.945,A0 IV/V
29340.0,-14.036,288.726,-157.592,A0 V
29341.0,-49.275,1007.897,89.173,A2
29342.0,-25.415,519.023,216.705,null
29344.0,-10.788,220.19,61.394,G5
29345.0,-8.285,169.103,169.023,G5
29346.0,-9.103,185.719,167.003,K0
29348.0,-8.052,164.232,290.078,M0
29347.0,-11.297,230.423,-114.933,B9.5 IV/V
29350.0,-10.275,209.51,-651.98,M0 III
29349.0,-3.725,75.929,-73.99,G2/3 V
29351.0,-19.317,393.418,453.623,A0
29352.0,-14.446,294.097,162.597,B8
29353.0,-4.475,91.097,-200.966,M2 III
29354.0,-27.166,552.84,207.671,K1IV
29355.0,-11.611,236.199,-235.778,K2/3 IIICNII
29356.0,-10.996,223.646,-150.3,K0 III
29357.0,-3.17,64.446,71.427,A2
29358.0,-14.831,300.597,-26.662,A0
29359.0,-32.453,657.603,-39.322,B9 III
29360.0,-18.788,380.688,150.63,B1II
29361.0,-13.806,279.525,-47.516,A2 III
29362.0,-34.223,690.963,-206.106,K2 II/III
29363.0,-2.26,45.579,-123.767,A9 III
29364.0,-41.337,833.382,215.405,G5IB
29365.0,-6.145,123.854,-35.074,AP SRCREU
29366.0,-2.513,50.639,-88.031,F0 IV/V
29367.0,-74.103,1490.299,569.955,B5II
29368.0,-14.587,292.731,-88.649,A0 V
29369.0,-3.318,66.489,240.504,F5III
29370.0,-6.239,124.617,-63.735,A2/3 V
29371.0,-7.561,151.01,36.687,B9.5V
29372.0,-33.221,662.616,1022.623,K5
29373.0,-6.636,132.181,124.131,G5
29374.0,-1.379,27.457,-24.39,K2 V
29375.0,-5.061,100.714,97.84,A2
29376.0,-20.304,403.502,-178.047,B9 IV
29377.0,-2.899,57.602,88.898,F8
29378.0,-4.558,90.49,86.884,K2
29379.0,-7.392,146.703,66.695,K0
29380.0,-18.092,358.764,-220.299,F2 V
29381.0,-17.899,354.853,39.505,F0
29382.0,-22.16,439.069,397.958,B9
29383.0,-8.599,170.322,-235.87,G6 III
29384.0,-26.349,521.745,-6.995,B9 V + B9 V
29386.0,-11.043,218.278,37.081,K2
29387.0,-67.24,1327.097,-522.668,B3 V
29388.0,-3.134,61.804,70.468,A 3 V
29389.0,-3.983,78.522,-41.678,F3 V
29390.0,-20.281,399.636,199.145,B8
29391.0,-3.503,68.838,-29.111,G1 V
29392.0,-14.214,278.789,8.604,A3 III
29393.0,-11.024,216.129,-39.136,K2 III
29394.0,-4.75,93.126,-20.841,F2 V
29396.0,-3.656,71.609,9.795,F0
29397.0,-4.608,90.235,-94.636,F5 V
29398.0,-15.416,301.832,-155.529,K1 III
29399.0,-9.69,189.345,-62.284,K0 III
29400.0,-11.255,219.896,-324.013,K0 III
29401.0,-8.976,175.243,-14.32,B8 II/III
29402.0,-1.448,28.206,76.948,G5
29403.0,-16.468,320.61,13.854,B9 V
29404.0,-3.23,62.862,82.469,A 4 V
29406.0,-29.158,566.085,75.76,A2
29407.0,-35.251,684.105,390.414,B9
29408.0,-14.79,286.914,-244.665,G8/K0 III + A(3)
29409.0,-29.129,564.618,-132.835,K2/3 III
29410.0,-15.603,302.318,-113.181,AP EUSRCR
29411.0,-10.17,196.902,-402.985,K2 III
29412.0,-28.74,556.169,557.617,B9
29413.0,-22.753,440.03,928.637,K2
29414.0,-21.007,405.746,-113.718,A2 V
29415.0,-11.804,227.969,-502.027,K4 III
29416.0,-100.477,1940.405,779.832,M1:IA
29417.0,-16.725,322.818,-37.117,B2V
29418.0,-7.361,142.045,-174.353,A1 IV
29419.0,-31.402,605.593,-156.313,B5 III
29420.0,-25.19,485.671,6.372,B9 II/III
29421.0,-0.887,17.071,50.015,F5
29422.0,-13.193,253.499,347.248,G5
29423.0,-19.33,371.003,-78.531,G8 IV
29424.0,-24.875,477.206,-11.041,B9 III/IV
29425.0,-92.571,1775.619,762.324,M2EPIAB+B
29426.0,-11.16,214.016,54.263,B3V
29427.0,-2.813,53.832,-202.361,G5 III/IV
29428.0,-22.371,427.814,305.75,A0
29430.0,-14.887,284.565,91.312,B9.5V
29429.0,-57.393,1097.079,142.511,B 1 V
29431.0,-1.402,26.797,-96.854,G5V:
29432.0,-1.269,24.2,2.882,G4V
29433.0,-15.988,304.494,109.719,B9.5V
29434.0,-10.048,190.847,55.271,B3V
29435.0,-49.467,936.738,530.55,G2IB
29436.0,-14.14,267.266,524.572,K2
29437.0,-17.565,331.709,-162.37,K2 III
29438.0,-5.656,106.793,230.177,F5
29439.0,-1.545,29.025,-63.873,F6 V
29440.0,-13.396,251.317,20.575,Ap Si
29441.0,-32.027,599.935,721.804,M5
29442.0,-3.51,65.693,-17.197,K0 V
29444.0,-1.54,28.813,-63.414,F7 IV
29443.0,-7.186,134.461,-100.574,G5 V
29445.0,-9.1,170.049,124.335,A0
29446.0,-41.426,773.302,141.201,B 2 V
29447.0,-12.67,236.352,-414.225,K4 III
29448.0,-11.158,207.937,208.583,K0
29449.0,-6.255,116.481,-55.003,F0 V + F5/8
29450.0,-87.705,1630.179,689.896,M1IA
29451.0,-11.048,205.057,131.802,K2
29452.0,-14.62,270.816,217.925,F0
29453.0,-16.762,310.414,369.783,F
29455.0,-8.153,150.857,-88.926,A1MA5-F2
29456.0,-3.146,58.206,107.213,K0
29458.0,-35.862,659.676,-373.128,K2 V
29459.0,-45.796,842.182,-384.773,K0
29460.0,-19.502,358.577,-66.481,K3 III
29461.0,-4.324,79.498,-5.06,G8/K0 V
29462.0,-28.268,519.587,-367.832,K5/M0 III
29463.0,-7.874,144.442,84.585,F0
29464.0,-24.861,455.871,-338.615,B3 VN
29465.0,-21.918,401.758,-97.516,B9.5 III
29466.0,-4.558,83.397,-46.331,F5 V
29467.0,-4.09,74.768,-69.842,F3 V
